id,smiles
1,[O-][N+](=Nc1ccccc1)c1ccccc1
2,BrC(Br)Br
3,C=CBr
4,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br
5,S=C=Nc1ccc(Br)cc1
6,O=c1[nH]c2ccc(Br)cc2o1
7,Brc1ccccc1
8,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
9,Brc1nc(Br)c(Br)[nH]1
10,BrCBr
11,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
12,BrCC=CCBr
13,BrCCBr
14,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
15,C#CCCCC#C
16,C#CCOCC#C
17,C(CC1CO1)OCCC1CO1
18,C(CCC1CO1)CC1CO1
19,c1ccc(COCc2ccccc2)cc1
20,C(OCC1CO1)C1CO1
21,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C
22,C[Si](Cl)(Cl)CCCC#N
23,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O
24,C=C1CC(=O)O1
25,C=CC#N
26,C=CC(=O)NCNC(=O)C=C
27,C=CC(=O)OC1CC2CCC1C2
28,C=CC(=O)OCC1CO1
29,C=CC(=O)OCCC#N
30,C=CC(=O)OCCOC(=O)C=C
31,C=CC(=O)OCCOc1ccccc1
32,C=CC(=O)OCCOCCC#N
33,C=CC(=O)OCCOCCOC(=O)C=C
34,C=CC=C
35,C=CC=CC=C
36,C=CC=NNc1ccccc1
37,C=CC=O
38,C=Cc1ccccc1
39,C=Cc1ccccn1
40,C=Cc1ccncc1
41,C=CC1CC2C=CC1C2
42,C=CC1CCC(C=C)OC1
43,C=CC1CC=CCC1
44,C=CC1CCC2OC2C1
45,C=CC1OCC2(CO1)COC(C=C)OC2
46,C=CCC#N
47,C=CCc1ccc2c(c1)OCO2
48,C=CCc1cccc(CC=C)c1OCC1CO1
49,C=CCC1CC(=O)OC1=O
50,C=CCCC=O
51,C=CCN(CC=C)CC=C
52,C=CCN(CC=C)N=O
53,C=CCN=C=S
54,C=CCNCC=C
55,C=CCOC(=O)C=CC(=O)OCC=C
56,C=CCOC(=O)c1ccccc1C(=O)OCC=C
57,C=CCOC(=O)Cc1ccccc1
58,C=CCOC(=O)CC1CCCCC1
59,C=CCOC(=O)CCC1CCCCC1
60,C=CCOC(OCC=C)C(OCC=C)OCC=C
61,C=CCOC=C
62,C=CCOC=O
63,C=CCOc1ccccc1C(=O)NC1CCCCC1
64,C=CCOC1CC2CC1CC2OCC=C
65,C=CCOCC=C
66,C=CCOCCC#N
67,C=CN1CC1
68,C=CN1CCCC1=O
69,C=COC(=O)c1ccccc1
70,C=COC=O
71,C=COCCOCCOC=C
72,C=CS(=O)(=O)C=C
73,C=O
74,c1cc(-c2ccncc2)ccn1
75,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
76,c1ccc(-c2ccccc2)cc1
77,c1ccc(N=Nc2ccccc2)cc1
78,c1ccc(P(c2ccccc2)c2ccccc2)cc1
79,c1ccc(-c2ccccn2)nc1
80,c1ccc2cnccc2c1
81,c1ccccc1
82,c1ccncc1
83,c1ccc2c(c1)-c1cccc3cccc-2c13
84,c1ccc2ncccc2c1
85,c1cc2ccc3cccc4ccc(c1)c2c34
86,c1ccc2ccccc2c1
87,C1=CC=CCC=C1
88,C1=CC2C3C=CC(C3)C2C1
89,C1=CCC2CC=CC2C1
90,C1=CC2C=CC1C2
91,C1C2CC3OC3C2CC2OC12
92,C1C2OC2C2C1C1CC2C2OC12
93,C1=CCC(C2CC3C=CC2C3)CC1
94,C1=CCCC1
95,C1CC2CC1C1SSSC21
96,C1CC2CC1CC2CNCC1CC2CCC1C2
97,C1CC2OC2C1OC1CCC2OC12
98,C1CC2OC2CC1C1CO1
99,C1CCC(OC2CCCC2)C1
100,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1
101,C1CCC(NC2CCCCC2)CC1
102,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1
103,c1ccc2c(c1)CCCC2
104,C1CCC2CCCCC2C1
105,C1CCC2OC2C1
106,C1CCCCC1
107,C1CCCNCC1
108,C1CCN2CC3CC(CN4CCCCC34)C2C1
109,C1CCc2nnnn2CC1
110,C1CCNCC1
111,C1CCOC1
112,c1ccc(N2CCNCC2)cc1
113,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1
114,c1ccc(N2CCOCC2)cc1
115,c1ccc2sc(SN3CCOCC3)nc2c1
116,c1cncc(C2=NCCC2)c1
117,C1CN1
118,C1CN1c1nc(N2CC2)nc(N2CC2)n1
119,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2
120,C1CNCCN1
121,C1CNCCNC1
122,C1CO1
123,C1COC(OCC2CO2)C(OCC2CO2)O1
124,C1COCCN1
125,C1COCCOCCOCCO1
126,C1COCCOCCOCCOCCO1
127,C1COCCOCCOCCOCCOCCO1
128,C1COCO1
129,C1CS1
130,C1CSCCO1
131,c1cc2c(cc1C1CO1)O2
132,c1ccc(C2CO2)cc1
133,C1OC1C1CO1
134,c1cc(CC2CO2)cc(CC2CO2)c1
135,c1ccc(N(CC2CO2)CC2CO2)cc1
136,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1
137,c1cc(OCC2CO2)cc(OCC2CO2)c1
138,c1ccc2c(c1)OCO2
139,CBr
140,CC#N
141,C=C(C)C#N
142,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1
143,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2
144,C=CCOC(=O)C(=C)C
145,C=C(C)C(=O)OCC1CO1
146,C=C(C)C(=O)OCCCl
147,C=C(C)C(C)=O
148,C=C(C)C(OC(C)=O)OC(C)=O
149,C=C(C)c1ccccc1
150,C=C(C)C1CC=C(C)C(=O)C1
151,C=C(C)C1CC=C(C)C(O)C1
152,C=C(C)C1CC=C(C)CC1
153,C=C(C)C1CC=C(CO)CC1
154,C=C(C)CC#N
155,C=C(C)OC(C)=O
156,CC(=CC(=O)O)C(=O)O
157,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
158,CC(=O)C(C)(C)C
159,CC(=O)C(C)=O
160,C=CC(C)=O
161,CC(=O)C=CC1=C(C)CCCC1(C)C
162,CC(=O)C=CC1C(C)=CCCC1(C)C
163,CC(=O)C=O
164,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O
165,CC(=O)c1cccc2ccccc12
166,CC(=O)c1ccc(C)cc1
167,CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
168,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
169,CC(=O)c1ccc(N)cc1
170,CC(=O)c1ccc(O)cc1O
171,CC(=O)c1cccc([N+](=O)[O-])c1
172,CC(=O)c1cccc(N)c1
173,CC(=O)c1ccccc1
174,CC(=O)c1ccccc1Cl
175,CC(=O)c1ccccc1[N+](=O)[O-]
176,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2
177,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
178,CC(=O)C1C(=O)C=C(C)OC1=O
179,CC(=O)C1OC1(C)C
180,CC(=O)CC(=O)Nc1ccccc1
181,C=CC(=O)NC(C)(C)CC(C)=O
182,CC(=O)CC(C)(C)O
183,CC(=O)CC(C)=O
184,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
185,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
186,CC(=O)CCC(C)=O
187,CC(=O)CCC(=O)O
188,CC(=O)CCc1ccc(O)cc1
189,CC(=O)CCc1ccc(OC(C)=O)cc1
190,CC(=O)CCc1ccccc1
191,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
192,CC(=O)CCl
193,CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1
194,CC(=O)CO
195,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
196,CC(=O)N1CCOCC1
197,CC(=O)NC(=O)C(Cl)(Cl)Cl
198,CC(=O)NC(=O)c1ccccc1O
199,CC(=O)NC(CS)C(=O)O
200,CC(=O)NC(N)=S
201,CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1
202,CC(=O)Nc1ccc(C(=O)CCl)cc1
203,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1
204,CC(=O)Nc1ccc(O)cc1
205,CC(=O)Nc1ccccc1
206,CC(=O)Nc1ccncc1
207,CC(=O)NNC(=O)c1ccccn1
208,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
209,C=C(C#N)OC(C)=O
210,C=CC(=C)CCCC(C)(C)OC(C)=O
211,CC(=O)OC(C)=O
212,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl
213,C=C(Cl)C(OC(C)=O)OC(C)=O
